"customer_id","rep_id","first_name","last_name","email"
"1","1","Alex","Blee","alexb@gmail.com"
"2","3","David","Bold","david@hotmail.com"
"3","2","Felix","Gun","fgun@gmail.com"
"4","1","Simon","Harg","simon@yahoo.com"
"5","3","Elieen","Murray","elieenm@gmail.com"
"6","2","Andrea","Cult","andrea.cult@gmail.com"
"7","4","Brendon","Flow","brendonf@gmail.com"
"8","4","Sean","Connor","sconner@gmail.com"
"9","6","Sam","Butler","samb@gmail.com"
"10","5","Lola","Snow","lola@yahoo.com"
"11","6","Kate","Viny","kateviny@gmail.com"
"12","5","Matt","Helders","mhelders@gmail.com"
"13","7","Jamie","Cook","jcook@gmail.com"
"14","9","Natalie","Iris","nataliris@gmail.com"
"15","8","Nick","Suv","nicko@yahoo.com"
"16","8","Alexa","Simon","alexa_simon@gmail.com"
"17","7","Hazel","March","hmarch@gmail.com"
"18","9","Tom","Anderson","tomanderson@gmail.com"
"19","11","Andy","Philip","andyo@hotmail.com"
"20","11","Bob","Bean","beanbob@gmail.com"
