customer_id,first_name,last_name,email
1,Alex,Blee,alexb@gmail.com
2,David,Bold,david@hotmail.com
3,Felix,Gun,fgun@gmail.com
4,Simon,Harg,simon@yahoo.com
5,Elieen,Murray,elieenm@gmail.com
6,Andrea,Cult,andrea.cult@gmail.com
7,Brendon,Flow,brendonf@gmail.com
8,Sean,Connor,sconner@gmail.com
9,Sam,Butler,samb@gmail.com
10,Lola,Snow,lola@yahoo.com
11,Kate,Viny,kateviny@gmail.com
12,Matt,Helders,mhelders@gmail.com
13,Jamie,Cook,jcook@gmail.com
14,Natalie,Iris,nataliris@gmail.com
15,Nick,Suv,nicko@yahoo.com
16,Alexa,Simon,alexa_simon@gmail.com
17,Hazel,March,hmarch@gmail.com
18,Tom,Anderson,tomanderson@gmail.com
19,Andy,Philip,andyo@hotmail.com
20,Bob,Bean,beanbob@gmail.com
